,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
101,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",129844,2020-05-31 14:34:00,0.664,0.708,8.0,-4.154,1.0,0.0474,0.0337,0.0,0.0841,0.742,103.07,5Gu0PDLN4YJeW75PpBSg9p,4.0
102,Robin Schulz,Sugar (feat. Francesco Yates),219043,2020-05-31 14:38:00,0.636,0.815,5.0,-5.098,0.0,0.0581,0.0185,0.0,0.163,0.636,123.063,5tf1VVWniHgryyumXyJM7w,4.0
103,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,180565,2020-05-31 14:41:00,0.782,0.685,4.0,-6.237,1.0,0.0309,0.166,1.18e-05,0.16,0.603,118.016,7vFoFDWqTX0mHzLfrF1Cfy,4.0
104,Cheat Codes,Let Me Hold You (Turn Me On),162425,2020-05-31 14:44:00,0.681,0.774,1.0,-3.167,0.0,0.0787,0.0992,0.0,0.35,0.267,102.924,3aLWuWKHaTV4Ok7LKvXRYn,4.0
105,Axwell /\ Ingrosso,More Than You Know,203000,2020-05-31 14:47:00,0.646,0.741,5.0,-4.973,0.0,0.034,0.0275,0.0,0.312,0.571,123.077,6h5PAsRni4IRlxWr6uDPTP,4.0
106,Matt Simons,Catch & Release - Deepend Remix,155726,2020-05-31 14:50:00,0.838,0.536,1.0,-8.645,0.0,0.0478,0.555,0.000376,0.111,0.107,104.988,11BAVEGi1ivJ6JWLqKUNrZ,4.0
107,One Direction,Perfect,230333,2020-05-31 14:54:00,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,3.0
108,OMI,Masterpiece,180875,2020-05-31 14:57:00,0.661,0.733,0.0,-2.7,0.0,0.0434,0.0153,0.0,0.0982,0.612,143.932,4PYiIgzcp4o5pEYji1xY9q,4.0
109,OMI,Hula Hoop,205474,2020-05-31 15:00:00,0.673,0.842,1.0,-4.666,1.0,0.039,0.0248,0.0,0.294,0.509,121.986,0wsXdby1T3PWLauIkGUZzg,4.0
110,OMI,Cheerleader,154208,2020-05-31 15:03:00,0.782,0.685,4.0,-6.237,1.0,0.0309,0.166,1.18e-05,0.16,0.603,118.016,7vFoFDWqTX0mHzLfrF1Cfy,4.0
111,QARAN,Haaye Oye (feat. Ash King),200029,2020-05-31 15:06:00,0.633,0.727,11.0,-4.104,0.0,0.0383,0.173,0.0,0.153,0.543,123.959,0oukMLKedsqQ3ltnI2daRO,4.0
112,JP Cooper,The Reason Why,186080,2020-05-31 15:10:00,0.638,0.757,8.0,-6.286,1.0,0.0386,0.00522,0.0,0.0794,0.311,81.552,0qpkkotJY99wDV5jBGdDMn,4.0
113,Why Don't We,Big Plans,179929,2020-05-31 15:13:00,0.693,0.604,11.0,-5.279,1.0,0.0427,0.0668,0.0,0.114,0.651,75.014,3eng6TJxpqjvDkxRpnfnhB,4.0
114,Rita Ora,Only Want You (Martin Jensen Remix),173173,2020-05-31 15:16:00,0.37,0.675,9.0,-6.167,1.0,0.103,0.562,0.0,0.247,0.437,76.087,1dLDPlyQVwBTPPF1jC5pK6,4.0
115,Jonas Blue,Younger,194720,2020-05-31 15:19:00,0.784,0.845,3.0,-2.793,1.0,0.0596,0.286,1.59e-05,0.074,0.888,105.981,4D7ERaKgv8NAeck8RzUtRz,4.0
116,The Vamps,I Found A Girl,179440,2020-05-31 15:22:00,0.717,0.856,4.0,-4.68,1.0,0.0565,0.118,0.0,0.274,0.645,89.982,7I8EGPtqTwlC0UlCAkpYtP,4.0
117,Hailee Steinfeld,"Back to Life - from ""Bumblebee""",233858,2020-05-31 15:26:00,0.638,0.659,10.0,-6.215,0.0,0.0627,0.0127,0.0,0.187,0.341,103.029,16geeCnXrbiomV1IZ8Kudc,4.0
118,Seeb,Fade Out,115986,2020-05-31 15:28:00,0.706,0.68,4.0,-4.65,0.0,0.0424,0.118,0.0,0.0443,0.728,105.977,20XjdVfh6kFATmgm7T0C5r,4.0
119,Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),195419,2020-05-31 18:54:00,0.643,0.904,0.0,-3.694,1.0,0.0739,0.0776,0.0,0.189,0.481,103.028,5Xn4IyTtW6FUGIUyWjbUHG,4.0
120,Jason Derulo,Talk with Your Body,188750,2020-05-31 18:57:00,0.793,0.76,0.0,-3.704,0.0,0.124,0.112,0.0,0.267,0.819,102.989,7yPcAO4F6ozQi6lTi3n3Ai,4.0
121,Jason Derulo,Want to Want Me,207719,2020-05-31 19:01:00,0.775,0.68,0.0,-5.508,0.0,0.0629,0.00906,0.0,0.109,0.656,114.025,6zKrj4SomgfbvsfuTAuElE,4.0
122,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),216408,2020-05-31 19:08:00,0.696,0.817,1.0,-3.862,1.0,0.109,0.075,0.0,0.187,0.782,98.064,6kex4EBAj0WHXDKZMEJaaF,4.0
123,Jason Derulo,Mamacita (feat. Farruko),204064,2020-05-31 19:12:00,0.593,0.787,11.0,-3.67,1.0,0.34,0.303,0.0,0.0917,0.495,191.772,7iwhbx1YQcQ675DTj6AmAb,4.0
